fund,start_year,end_year,beneficiary_name,project_name,total_amount,county
other,17.06.2009,17.06.2010,Ard Saoilse - Capital,"Ard Saoilse - Capital_x000D_-This business is involved in the sound, lighting and stage equipment hire to the entertainment industry nationwide. This includes theatre, film production, concerts and corporate entertainment._x000D_",40000,Clare
other,17.06.2009,17.06.2010,Golf Arena - Capital,Golf Arena - Capital_x000D_-This venture is the provision of an indoor gelf arena supplying golf simulation to various sectors of the public.,46000,Clare
other,17.02.2009,17.02.2010,Tensile Testing - Capital,"Tensile Testing - Capita l_x000D_This business is involved in the carrying out of destructive tensile testing on PE pipe work for use in the utility, infrastructure and pharmaceutical industrie",30000,Clare
other,28.10.2009,28.10.2010,Raymond Conway - Capital,"Raymond Conway - Capital_x000D_-Business providing specialist service of grave cleaning, general grave maintenance, sandblasting and repainting of names",1972,Clare
other,29.04.2009,31.12.2010,ABC Sports Nutrition Ltd./Capital Grant,Manufacture and export of  nutritional drinks for the sports and health care sector ,22000,Clare
other,17.06.2009,31.12.2010,Graywolf Sensing Solutions,GrayWolf is developing 2 embedded WINCE computer based instruments. These products will operate with existing probes for toxic gas and other applications. One unit is also being designed to interface with OEM/business partners and other producers of sensors for expanded applications,94494,Clare
other,04.04.2007,,Cybercolloids/Cap,Innovative Food Ingredients,47000,Cork County
other,04.04.2007,,Michael Twomey Butchers/Cap,New Meat Processing Plant,150000,Cork County
other,27.03.2007,,Yewcrafts/Cap,Innovative Craft Crystals,63372,Cork County
other,12.09.2007,,Mary Neeson Ceramics/Cap,Ceramic Crafts,12178,Cork County
other,11.03.2008,,Taste A Memory /Cap,Handmade pies and pasties,25278.52,Cork County
other,15.10.2007,15.10.2008,Aoife O'Mahony Design/Cap,"Making quality contemporary jewellery using precious metals wuch as gold, silver and platinum as well as precious stones",10553.8,Cork County
other,16.06.2008,31.12.2008,Callatrim Foods/Cap,"Producing a range of ""Callatrim"" branded traditional home baking products",30120,Cork County
other,19.02.2007,19.02.2008,Custom Quilting Ltd/Cap,Manufacturing high quality quiled products ,24577.38,Cork County
other,10.12.2007,10.12.2008,Durrus Farmhouse Cheese/Cap,Manufacturing a range of traditional farmhouse cheeses ,9390,Cork County
other,16.06.2008,31.12.2008,RG-L Patisserie/Cap,Manufacturing a range of specialty high end hand made classical french patisserie,33369.76,Cork County
other,10.12.2007,10.12.2008,Rossbrin Boatyard Ltd/Cap,Expansion of a boatyard/marine services by investment in a hoist (40% aid),134098.58,Cork County
other,16.07.2007,16.11.2008,Seymours Fine Foods Ltd/Cap,Manufacturing a range of biscuits for the retail trade and food service markets in Ireland,137220,Cork County
other,06.02.2007,,ECOCEL Ltd /Cap,Natural Cellulose Insulation,25996.56,Cork County
other,06.02.2007,,The Just Food Company /Cap,"Organic Soups, Pestos",148727.56,Cork County
other,01.01.2007,31.12.2013,La Charcuterie /Cap,Manufacture of Speciality Artisan Foods,150000,Cork County
other,01.01.2007,31.12.2013,Finders Food Ltd / Cap,Manufacture of Speciality Artisan Foods - supported Capital Equipment costs,60363.84,Cork County
other,20.10.2008,20.10.2009,Mojo Metal Designs/Cap,Expansion of a Metal engineering business supplying specialised railings and gates as well as a range of metal consumer products.,22288,Cork County
other,01.01.2009,31.12.2013,Macroom Oatmeal Mills/Cap,Manufacture of Oatmeal Products - supported with Capital Equipment costs,19001.04,Cork County
other,15.06.2009,15.06.2010,Bere Island Commercial Divers/Cap,"Bere Island Commercial Divers concentrates on inshore diving projects which support civil engineering or commercial marine-related projects, fish farming maintenance work and salvage operations.",38411.75,Cork County
other,19.02.2007,18.02.2010,Mediterranean Flavours Ltd./Cap,Production and branding of fresh pasta products for wholesale market,57000,Cork City
other,19.02.2007,17.04.2007,Garry McCarthy Trophies/Cap,Specialised Engraving for braille products,11532.24,Cork City
other,28.05.2007,09.08.2007,City Clothing Factory Ltd./Cap,Clothing Factory,25206.12,Cork City
other,16.04.2007,03.03.2008,Flair Confectionery/Cap,Chocolate Maker_x000D_,30000,Cork City
other,28.01.2008,01.04.2008,Sowans Organic Bread Mix/Cap,,29000,Cork City
other,28.01.2008,01.10.2008,T & T Precision Ltd./Cap,Tool Makers_x000D_,75000,Cork City
other,28.01.2008,07.10.2008,Kemtron Ltd./Cap,Manufacture of gaskets for heavy industrial and pharachem sector_x000D_,44886.16,Cork City
other,10.03.2008,11.06.2009,Environmental Laboratory Services/Cap,Purchase of Laboratory testing equipment for water testing company_x000D_,101793.68,Cork City
other,22.04.2009,20.05.2009,D. B. Alliance Ltd/Capital,Capital grant to purchase servers for development of I.T. Support company,5398.62,Cork City
other,21.09.2010,26.11.2010,H2 Compliance Ltd/Cap,A software platform aimed at multi nationals to assist them meet their regulatory obligations in the traceability of chemicals,40000,Cork City
other,14.09.2009,07.05.2010,Fergal O'Leary/Cap,Furniture design and manufacuturer. Puchase of equipment.,6899,Cork City
other,21.03.2007,21.03.2008,David & Sabrina Cosgrave - Capital Grant,Food manufacturer,148666.22,Dublin City
other,21.03.2007,21.03.2008,Stephen Stenson - Capital Grant,Chemicals Manufacturing company - Refundable Capital Grant,135752.16,Dublin City
other,19.06.2007,19.06.2008,T. Fitzpatrick & P. Flannigan Capital Grant,Mobile Medicare,44112.76,Dublin City
other,19.06.2007,19.06.2008,Luke Verling - Capital Grant,Multi Media,2710.26,Dublin City
other,18.09.2007,18.09.2008,Cormac Hargarden - Capital Grant,Info. Technology,26369.88,Dublin City
other,25.10.2007,25.10.2008,Pat Hussey - Capital Grant,Manufacturing,90000,Dublin City
other,24.04.2007,,247 Meeting Cap,Virtual meetings,39181.78,Dun Laoghaire-Rathdowne
other,24.04.2007,,Dublin Cookery School Cap,Cookery School,123022,Dun Laoghaire-Rathdowne
other,24.07.2007,,Pure Haven Cap,Furniture manufacture,34600,Dun Laoghaire-Rathdowne
other,24.04.2007,,Oceandivers Cap,Diving school,62368.6,Dun Laoghaire-Rathdowne
other,01.01.2007,,Kids United Cap,Childcare,83732,Dun Laoghaire-Rathdowne
other,03.04.2007,26.07.2007,Monster Music - Capital,10002940 - Michael Quinn - Rehearsal Studios and Music School,150000,Fingal
other,06.02.2007,10.12.2007,F&P Fogarty - Capital,Darragh Fogarty - Conveyor Belting Manufacturer,70000,Fingal
other,07.11.2007,29.02.2008,Glenmaroon Packaging - Capital,Declan & Brian Gregg - Manufacture of corrugated boxes,95000,Fingal
other,02.04.2008,16.06.2008,Jai Kudo - Capital,Anthony Lawless - Manufactures Optical Lenses,10000,Fingal
other,05.11.2008,14.07.2009,GK Nets - Capital,"Kieran McLoughlin - Manufactures Fishing Nets, Sports Nets, Health & Safety and Environmental Netting",110000,Fingal
other,03.09.2008,29.04.2009,Goughs Howth - Capital,Shirley Finnerty - Manufacturer of bespoke jewellery,18000,Fingal
other,04.03.2009,,Critical Data - Capital,Ronan Kennedy - Forensic recovery & destruction of computer hard drives,44164,Fingal
other,01.01.2009,04.12.2009,Irish Diaries - Capital,"Robert Whelan - Manufacture and publish school books, workbooks and diaries",39860,Fingal
other,05.03.2007,08.07.2008,Mango Crafts/Cap,furniture manufacturer,6758,Kerry
other,05.03.2007,06.06.2007,Michael Brosnan/cap,manufacture of dog kennels,8000,Kerry
other,05.03.2007,03.09.2007,Alan Buckley/cap,manufacture of precision engineered parts,11240,Kerry
other,05.03.2007,10.04.2008,Kip Learning/cap,education services,40000,Kerry
other,25.06.2007,24.12.2007,vincent daly/cap,fish processing- capital support for new equipment and premises upgrade,14000,Kerry
other,28.08.2007,26.02.2008,Joe Ryan/cap,sign making business- capital grant for new equipment_x000D_,6962.86,Kerry
other,28.08.2007,23.12.2008,Pierce Walsh/cap,food production business- capital investment on new equipment and premises upgrade,80000,Kerry
other,28.01.2008,15.08.2008,McCarthy O'Sullivan Utility/cap,high voltage equipment maintenance and installation- capital grant for new installation equipment,40000,Kerry
other,28.01.2008,28.10.2008,Thomas Ashe/cap,capital grant for purchase of specialist equipment related to black pudding manufacturing,13762.5,Kerry
other,28.01.2008,21.08.2008,Jan Van Soest/Cap,printing of panoramic photo products- grant for purchase of specialist printing equipment_x000D_,14000,Kerry
other,28.01.2008,15.08.2008,Adanack/Cap,manufacture of resin based mouldings and trims- installation of three phase electricity supply,10760,Kerry
other,28.01.2008,13.11.2008,Water Control Services/Cap,provision of robotic cleaning and monitoring systems for reservoirs- purchase of automatic cleaning system and related equipment,100000,Kerry
other,31.03.2008,17.11.2008,Paul O'Connell/cap,fabrication and steelworks- capital grant for purchase of new metal working equipment,30000,Kerry
other,31.03.2008,04.02.2009,Stephen O'Connell/cap,"steel fabrication. Capital grant for purchase of welding machine, tools and other equipment",30000,Kerry
other,31.03.2008,25.08.2008,Noel White/cap,precision engineering business- capital grant for purchase of multi-spindle machine,30000,Kerry
other,26.05.2008,08.06.2009,Maurice O' Carroll/Cap,Multi-Media Studio specialising in Web Based and Standard Video Production),19951.46,Kerry
other,31.03.2008,03.06.2009,Tobin Leisure/Cap,Family Entertainment Centre in Tralee- equipment and facility upgrade costs,40000,Kerry
other,26.05.2008,18.12.2009,Alison Boardman/Cap,translation and interpretative services company,6865,Kerry
